Week,Rushing,Passing,Opp. Rushing,Opp. Passing
1,161,188,74,182
2,182,191,67,146
3,88,305,84,279
4,127,290,87,233
5,51,219,176,242
6,34,191,221,253
7,50,305,190,289
9,37,213,161,299
10,209,301,158,192
11,14,172,142,226
12,105,302,33,299
13,73,193,97,221
14,99,275,87,290
15,123,308,240,212
16,67,351,45,353
17,146,291,100,412
