Week,Rushing,Passing,Opp. Rushing,Opp. Passing
1,154,179,104,217
2,101,243,93,250
3,47,276,123,108
4,207,218,59,167
6,221,253,34,191
7,89,283,16,337
8,74,292,118,333
9,29,261,98,338
10,128,190,148,132
11,70,197,123,241
12,137,274,12,321
13,90,373,74,281
14,183,256,24,268
15,73,299,133,176
16,143,285,63,221
17,122,178,113,182
