week	name	t	a	sck	int	ff
11	C. Upshaw	4	1	1.0	0	1	
11	B. Williams	3	4	0.0	0	1	
11	C. Canty	1	1	0.0	0	0	
11	E. Dumervil	1	2	0.0	0	0	
11	T. Jernigan	1	3	0.0	0	0	
11	D. Smith	1	1	0.0	0	0	
11	L. Guy	0	1	0.0	0	0	
11	W. Hill	0	2	0.0	0	0	
12	L. Webb	7	0	0.0	0	0	
12	C. Mosley	6	1	0.0	0	0	
12	S. Wright	5	0	0.0	0	0	
12	W. Hill	4	2	0.0	0	0	
12	K. Lewis	4	0	0.0	0	0	
12	E. Dumervil	3	1	1.5	0	0	
12	D. Smith	3	0	0.0	0	0	
12	T. Jernigan	2	1	0.5	0	0	
12	Z. Orr	2	0	0.0	0	0	
12	C. Canty	1	0	0.0	0	0	
12	J. Smith	1	1	0.0	0	0	
12	Z. Smith	1	0	0.0	0	0	
12	C. Upshaw	1	0	0.0	0	0	
12	B. Urban	1	1	0.0	0	0	
12	B. Williams	0	1	0.0	0	0	
13	D. Smith	9	0	1.0	0	0	
13	K. Lewis	5	0	0.0	0	1	
13	C. Mosley	4	0	0.0	0	0	
13	Z. Orr	3	0	0.0	0	0	
13	E. Dumervil	2	1	0.0	0	0	
13	W. Hill	2	1	0.0	0	0	
13	C. Upshaw	2	1	0.0	0	0	
13	S. Wright	2	0	0.0	0	0	
13	C. Canty	1	1	0.0	0	0	
13	Z. Smith	1	0	0.0	0	0	
13	L. Webb	1	0	0.0	0	0	
13	B. Williams	1	1	0.0	0	0	
14	S. Wright	7	2	0.0	0	0	
14	J. Smith	4	1	0.0	0	0	
14	B. Urban	4	1	0.0	0	0	
14	L. Webb	4	1	0.0	0	0	
14	C. Mosley	3	4	0.0	0	0	
14	K. Arrington	2	0	0.0	0	0	
14	L. Guy	2	2	0.0	0	0	
14	Z. Orr	2	2	0.0	0	0	
14	Z. Smith	2	2	0.0	0	0	
14	C. Upshaw	2	1	0.0	0	1	
14	C. Canty	1	1	0.0	0	0	
14	T. Jernigan	1	3	0.0	0	0	
14	K. Lewis	1	2	0.0	0	0	
14	E. Dumervil	0	2	0.0	0	0	
14	W. Hill	0	1	0.0	0	0	
14	D. Smith	0	8	0.0	0	0	
14	B. Williams	0	1	0.0	0	0	
15	K. Lewis	5	2	0.0	0	0	
15	C. Mosley	4	5	0.0	0	0	
15	D. Smith	4	3	0.0	0	0	
15	W. Hill	3	0	0.0	0	0	
15	T. Jernigan	3	3	0.0	0	0	
15	Z. Smith	3	1	2.0	0	0	
15	L. Webb	3	0	0.0	0	0	
15	B. Williams	3	1	0.0	0	0	
15	S. Wright	3	1	0.0	0	0	
15	E. Dumervil	2	0	0.0	0	0	
15	Z. Orr	1	1	0.0	0	0	
15	J. Rolle	1	0	0.0	0	0	
15	C. Upshaw	1	3	0.0	0	0	
15	B. Urban	1	0	1.0	0	0	
15	C. Davis	0	1	0.0	0	0	
15	L. Guy	0	1	0.0	0	0	
16	C. Mosley	7	3	0.0	0	1	
