Week,Rushing,Passing,Opp. Rushing,Opp. Passing
1,73,100,69,150
2,109,384,97,351
3,36,362,86,372
4,191,165,167,96
5,181,196,83,422
6,77,343,65,326
7,55,221,150,264
8,72,293,81,290
10,89,308,90,168
11,96,292,82,131
12,104,232,63,275
13,94,281,137,82
14,28,274,123,301
15,93,273,113,164
16,100,100,100,100
17,121,265,110,198
