Week,Rushing,Passing,Opp. Rushing,Opp. Passing
1,54,354,120,307
2,104,219,139,194
3,70,310,119,312
4,103,335,115,220
5,96,292,186,333
6,81,304,150,263
7,183,266,75,301
8,103,505,87,329
9,61,355,112,371
10,158,192,209,301
12,50,218,167,195
13,70,264,175,322
14,87,301,115,176
15,69,330,150,246
16,135,402,65,347
17,67,323,87,327
