name,id,home,team,pos,defense_ast,defense_ffum,defense_int,defense_sk,defense_tkl,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_fga,kicking_fgm,kicking_fgyds,kicking_totpfg,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kickret_avg,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,punting_avg,punting_i20,punting_lng,punting_pts,punting_yds,puntret_avg,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
Ricardo Allen,00-0031181,no,ATL,FS,9,0,3,1,59,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Javorius Allen,00-0031577,no,BAL,RB,,,,,,2,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,54,45,2,0,0,353,138,213,3,1,0,0,516

Kiko Alonso,00-0030401,no,PHI,LB,14,0,1,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Tyson Alualu,00-0027862,no,JAC,DT,8,0,0,2,18,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,0,2,0,0,0,19,1,0,0,0,0,0,0

Danny Amendola,00-0026035,no,NE,WR,,,,,,1,0,1,0,0,,,,,,,,,,62,71,0,8,0,1,1,0,0,0,0,36,,,,,,110,200,0,23,0,232,20,65,3,0,0,648,2,11,0,0,0,0,11

David Amerson,00-0030420,no,WAS,CB,5,1,4,0,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Adrian Amos,00-0031584,no,CHI,FS,10,0,0,1,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Prince Amukamara,00-0027957,no,NYG,CB,8,1,1,0,55,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Derek Anderson,00-0023645,yes,CAR,QB,,,,,,0,1,1,1,0,,,,,,,,,,,,,,,6,4,0,0,0,0,36,,,,,,,,,,,,,,,,,,7,1,0,0,0,0,-2

James Anderson,00-0024303,no,NO,LB,5,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Colt Anderson,00-0026578,no,IND,SS,5,0,0,0,7,,,,,,,,,,,,,,,5,5,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,0,0,0,0,-1

C.J. Anderson,00-0029854,no,DEN,RB,,,,,,2,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,0,25,0,0,0,183,152,260,116,5,0,0,720

Jonathan Anderson,00-0031902,no,CHI,OLB,4,1,1,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Henry Anderson,00-0032269,no,IND,DE,12,0,0,1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Antonio Andrews,00-0030789,no,TEN,RB,,,,,,1,0,1,0,0,,,,,,,,,,13,13,0,1,0,1,1,0,1,0,0,41,,,,,,,,,,,128,0,21,0,0,0,174,143,187,10,3,0,0,520

Bryan Anger,00-0029692,no,JAC,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,635,26,890,80,3700,,,,,,,,,,,,,,,,,,,

Ezekiel Ansah,00-0030059,no,DET,DE,8,3,0,14.5,38,0,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Stephone Anthony,00-0032102,no,NO,MLB,41,2,1,1,69,0,0,0,1,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Kenny Anunike,00-0030677,no,DEN,DE,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Dri Archer,00-0031392,no,PIT,,,,,,,,,,,,,,,,,,,,,152,177,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Thurston Armbrister,00-0031729,no,JAC,MLB,7,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Arik Armstead,00-0032164,no,SF,DE,5,0,0,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Ray-Ray Armstrong,00-0030050,no,OAK,OLB,2,0,0,1,13,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Kyle Arrington,00-0026071,no,BAL,DB,6,1,0,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Cameron Artis-Payne,00-0031599,no,CAR,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,0,5,0,0,0,58,45,87,11,1,0,0,183

Larry Asante,00-0027759,no,OAK,SS,6,0,0,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Matt Asiata,00-0028198,no,MIN,RB,,,,,,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,0,19,0,0,0,132,29,77,0,0,0,0,112

Geno Atkins,00-0027720,no,CIN,DT,11,1,0,11,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Jeremiah Attaochu,00-0031258,no,SD,OLB,8,0,0,6,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Miles Austin,00-0023921,no,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,39,13,1,0,0,224,,,,,,,

Tavon Austin,00-0030525,no,STL,WR,,,,,,2,0,2,0,0,,,,,,,,,,16,16,0,3,0,,,,,,,,,,,,,111,214,75,34,1,275,100,52,5,0,0,473,52,277,44,4,0,0,434

Denico Autry,00-0031254,no,OAK,NT,2,0,0,3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Jason Avant,00-0024324,no,KC,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,0,15,0,1,0,119,,,,,,,

Cliff Avril,00-0026232,no,SEA,DE,16,2,0,9.0,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Robert Ayers

Akeem Ayers,00-0027977,no,STL,OLB,12,1,0,0.5,35,0,0,0,3,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Jonathan Babineaux,00-0023494,no,ATL,NT,8,1,1,1.5,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Johnson Bademosi,00-0029065,no,CLE,CB,2,0,0,0,8,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Allen Bailey,00-0028024,no,KC,DE,12,2,0,4,26,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Dan Bailey,00-0028660,no,DAL,K,,,,,,,,,,,32,30,574,90,25,0,25,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Stedman Bailey,00-0030532,no,STL,,,,,,,0,1,0,1,0,,,,,,,,,,28,28,0,1,0,,,,,,,,,,,,,,,,,,133,18,12,1,0,0,182,,,,,,,

Dion Bailey,00-0030769,no,SEA,SS,6,0,0,0.5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Brandon Bair,00-0028311,no,PHI,DE,5,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Chris Baker,00-0026512,no,WAS,DE,27,3,0,6.0,27,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Doug Baldwin,00-0028434,no,SEA,WR,,,,,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455,255,78,14,0,0,1069,,,,,,,

Alan Ball,00-0025624,no,CHI,CB,5,0,0,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Neiron Ball,00-0032205,no,OAK,OLB,1,0,0,1,4,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Lonnie Ballentine,00-0031098,no,HOU,SAF,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Chris Banjo,00-0029747,yes,GB,CB,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Johnthan Banks,00-0030469,no,TB,CB,6,0,0,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Joe Banyard,00-0029048,no,JAC,RB,,,,,,,,,,,,,,,,,,,,10,13,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Kenjon Barner,00-0030465,no,PHI,RB,,,,,,1,0,1,0,0,,,,,,,,,,10,10,0,1,0,,,,,,,,,,,,,-3,-3,0,1,0,11,0,9,0,0,0,22,28,50,0,0,0,0,124

Tim Barnes,00-0028274,no,STL,C,,,,,,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

T.J. Barnes,00-0029940,no,NYJ,DT,3,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Tavaris Barnes,00-0032032,no,NO,DE,2,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Gary Barnidge,00-0026281,no,CLE,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383,80,79,9,0,0,1043,,,,,,,

Anthony Barr,00-0031256,no,MIN,OLB,13,3,1,3.5,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Shaquil Barrett,00-0031101,no,DEN,OLB,15,3,0,5.5,28,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Sam Barrington,00-0030119,no,GB,ILB,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Mark Barron,00-0029670,no,STL,OLB,37,2,0,1,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Lamin Barrow,00-0031354,no,CHI,LB,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Connor Barth,00-0026138,no,TB,K,,,,,,,,,,,28,23,455,69,26,0,25,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Joplo Bartu,00-0029770,no,ATL,OLB,2,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Connor Barwin,00-0027022,no,PHI,OLB,10,1,0,7.0,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

David Bass,00-0030517,no,TEN,LB,12,0,1,1.5,20,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Daren Bates,00-0029794,no,STL,LB,1,0,0,0,2,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,,,,,,,,,,,,,,

Houston Bates,00-0032181,no,WAS,LB,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Zane Beadles,00-0027658,yes,JAC,G,,,,,,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Cole Beasley,00-0029000,no,DAL,WR,,,,,,2,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,42,60,0,12,0,236,26,52,5,0,0,536,,,,,,,

Vic Beasley,00-0032240,no,ATL,DE,7,2,1,4,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Jon Beason,00-0025412,no,NYG,MLB,6,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Odell Beckham

Joique Bell,00-0027218,no,DET,RB,,,,,,0,0,1,0,0,,,,,,,,,,11,11,0,1,0,,,,,,,,,,,,,,,,,,206,0,22,0,0,0,286,90,154,4,4,2,0,311

Le'Veon Bell,00-0030496,no,PIT,RB,,,,,,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,0,24,0,0,0,136,113,148,13,3,0,0,556

Blake Bell,00-0032062,no,SF,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,0,15,0,0,0,186,,,,,,,

Josh Bellamy,00-0029319,no,CHI,WR,,,,,,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,82,19,2,0,0,224,,,,,,,

Nick Bellore,00-0028292,no,SF,LB,1,0,0,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Travis Benjamin,00-0029269,no,CLE,WR,,,,,,2,1,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,124,216,78,28,1,435,160,68,5,2,0,966,4,12,0,0,0,0,12

Martellus Bennett,00-0026201,no,CHI,TE,,,,,,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,30,53,3,0,0,439,,,,,,,

