name,id,home,team,pos,defense_ast,defense_ffum,defense_int,defense_sk,defense_tkl,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_fga,kicking_fgm,kicking_fgyds,kicking_totpfg,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kickret_avg,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,punting_avg,punting_i20,punting_lng,punting_pts,punting_yds,puntret_avg,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
Tre Boston,00-0031261,no,CAR,FS,6,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Chris Boswell,00-0031136,no,PIT,K,,,,,,,,,,,32,29,494,87,27,0,26,1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

A.J. Bouye,00-0030228,no,HOU,CB,0,0,2,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Dwayne Bowe,00-0025410,no,CLE,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,0,5,0,0,0,53,,,,,,,

Stephen Bowen,00-0023954,no,NYJ,DE,4,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Da'Quan Bowers,00-0027989,no,TB,DE,2,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Zack Bowman,00-0026282,yes,MIA,,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

NaVorro Bowman,00-0027894,no,SF,ILB,38,1,0,2.5,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Josh Boyd,00-0030093,no,GB,DE,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Brandon Boykin,00-0029416,no,PIT,DB,5,1,1,1,16,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Nick Boyle,00-0031598,no,BAL,TE,,,,,,,,,,,,,,,,,,,,10,10,0,1,0,,,,,,,,,,,,,,,,,,100,0,18,0,1,1,153,,,,,,,

Sam Bradford,00-0027854,no,PHI,QB,,,,,,3,4,9,4,-32,,,,,,,,,,,,,,,532,346,14,19,0,0,3725,,,,,,,,,,,,,,,,,,25,43,0,0,0,0,39

Allen Bradford,00-0028125,no,ATL,,1,1,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Nigel Bradham,00-0029272,no,BUF,OLB,15,0,0,1,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Bryan Bradshaw,00-0025637,no,IND,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,15,10,3,0,0,64,31,53,0,0,0,0,85

Tom Brady,00-0019596,no,NE,QB,,,,,,2,2,6,2,0,,,,,,,,,,,,,,,624,402,7,36,0,0,4770,,,,,,,,,,,36,0,1,0,0,0,36,34,51,3,3,0,0,53

Alan Braman,00-0028536,yes,PHI,LB,0,0,0,1,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Alan Branch,00-0025420,no,NE,DT,13,2,0,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Tyvon Branch,00-0026240,no,KC,DB,7,0,1,1,33,0,0,0,1,73,,,,,,,,,,2,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Andre Branch,00-0029600,no,JAC,DE,6,2,0,4,19,0,0,0,1,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Cameron Brate,00-0031273,no,TB,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,48,23,3,0,0,288,,,,,,,

Quan Bray,00-0031514,no,IND,WR,,,,,,,,,,,,,,,,,,,,221,278,0,21,0,,,,,,,,,,,,,63,107,0,21,0,,,,,,,,,,,,,,

Delvin Breaux,00-0031474,no,NO,CB,7,0,3,0,37,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Bashaud Breeland,00-0031052,no,WAS,CB,22,3,2,0,60,0,0,0,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Drew Brees,00-0020531,no,NO,QB,,,,,,2,2,5,2,0,,,,,,,,,,,,,,,627,429,10,32,1,0,4878,,,,,,,,,,,,,,,,,,24,29,1,1,0,0,14

Teddy Bridgewater,00-0031237,no,MIN,QB,,,,,,3,1,7,1,-2,,,,,,,,,,,,,,,447,292,9,14,0,0,3231,,,,,,,,,,,,,,,,,,44,119,19,3,1,1,192

Kyle Brindza,00-0031656,no,TB,,,,,,,,,,,,12,6,155,18,8,0,6,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Jasper Brinkley,00-0027108,no,NYG,MLB,18,4,0,1,47,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Kenny Britt,00-0027006,no,STL,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420,128,36,3,0,0,681,,,,,,,

Tramaine Brock,00-0027375,no,SF,CB,8,0,3,0,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Michael Brockers,00-0029630,no,STL,DT,18,0,0,3,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Jay Bromley,00-0031403,no,NYG,DT,17,0,0,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Ahmad Brooks,00-0024495,no,SF,OLB,14,0,0,6.5,28,0,0,0,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Ron Brooks,00-0029280,yes,BUF,CB,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Terrence Brooks,00-0031338,yes,BAL,FS,1,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Josh Brown,00-0021940,no,NYG,K,,,,,,0,0,1,0,0,32,30,528,90,45,0,44,1,44,-12,-12,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Tarell Brown,00-0025534,no,NE,CB,4,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Donald Brown,00-0027003,no,SD,RB,,,,,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,0,8,0,0,0,88,59,102,1,1,0,0,229

Sergio Brown,00-0027232,no,JAC,FS,7,0,0,1.5,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Antonio Brown,00-0027793,no,PIT,WR,,,,,,2,1,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,101,161,71,22,1,533,122,136,10,4,2,1834,3,22,0,0,0,0,28

Vincent Brown,00-0028020,no,SD,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,0,1,0,0,0,22,,,,,,,

Jalil Brown,00-0028056,no,IND,CB,3,0,0,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Kourtnei Brown,00-0028979,yes,TB,DE,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Bryce Brown,00-0029429,no,SEA,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,27,1,1,0,0,72

Zach Brown,00-0029566,no,TEN,ILB,22,0,2,0.5,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Jaron Brown,00-0030300,no,ARI,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,6,11,1,0,0,144,,,,,,,

Marlon Brown,00-0030400,no,BAL,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,0,14,0,0,0,112,,,,,,,

John Brown,00-0031051,no,ARI,WR,,,,,,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443,138,65,7,0,0,1003,3,19,0,0,0,0,22

Corey Brown,00-0031118,no,CAR,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,103,31,4,0,0,447,6,31,0,0,0,0,38

Preston Brown,00-0031171,no,BUF,MLB,55,1,2,0,63,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Jason Brown,00-0031806,no,STL,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,0,1,0,0,0,-2,4,13,0,0,0,0,17

Marlon Brown,00-0032098,no,BAL,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,0,6,0,0,0,64,,,,,,,

Malcolm Brown,00-0032261,no,NE,DT,17,0,0,3,31,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Brandon Browner,00-0023013,no,NO,CB,12,0,1,0,62,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

David Bruton,00-0027083,no,DEN,SS,12,1,2,0,29,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Matt Bryant,00-0020578,no,ATL,K,,,,,,,,,,,18,14,258,42,26,0,26,0,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Red Bryant,00-0026261,no,ARI,DT,2,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Desmond Bryant,00-0026533,no,CLE,DE,9,1,0,6.0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Dez Bryant,00-0027902,no,DAL,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,44,31,3,0,0,401,,,,,,,

Corbin Bryant,00-0028707,no,BUF,DT,21,0,0,0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Armonty Bryant,00-0030553,no,CLE,OLB,12,2,0,5.5,28,0,0,0,1,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Martavis Bryant,00-0031373,no,PIT,WR,,,,,,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,221,50,6,0,0,765,5,37,11,1,0,0,37

Deone Bucannon,00-0031366,no,ARI,SS,19,3,1,3,90,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Randy Bullock,00-0029421,no,HOU,K,,,,,,,,,,,23,19,445,57,25,0,22,3,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Max Bullough,00-0031138,no,HOU,ILB,6,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Vontaze Burfict,00-0028912,no,CIN,OLB,17,0,2,1,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Rex Burkhead,00-0030288,no,CIN,RB,,,,,,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,5,10,1,0,0,94,4,2,0,0,0,0,4

Marcus Burley,00-0029942,no,SEA,DB,1,0,1,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Morgan Burnett,00-0027676,no,GB,SS,21,1,0,0,46,0,0,0,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Trey Burton,00-0030710,no,PHI,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,0,3,0,0,0,54,,,,,,,

Michael Burton,00-0031595,no,DET,FB,,,,,,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,4,6,1,0,0,39,4,2,0,0,0,0,2

Reggie Bush,00-0024217,no,SF,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,0,2,0,14,0,4,0,0,0,19,8,16,0,0,0,0,28

Rafael Bush,00-0027195,no,NO,FS,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Josh Bush,00-0029143,no,DEN,DB,0,1,1,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Darius Butler,00-0027017,no,IND,CB,12,2,1,0,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Donald Butler,00-0027682,no,SD,ILB,16,1,0,0.5,24,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Brice Butler,00-0027763,no,DET,CB,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Drew Butler,00-0028952,no,ARI,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586,22,796,60,2575,,,,,,,,,,,,,,,,,,,

Crezdon Butler,00-0030516,no,DAL,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,0,12,0,0,0,258,,,,,,,

Jeremy Butler,00-0030691,no,BAL,WR,,,,,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,0,31,0,0,0,363,,,,,,,

Malcolm Butler,00-0031218,no,NE,CB,11,0,2,0,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Josh Bynes,00-0028278,no,DET,OLB,26,1,0,0.5,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Jairus Byrd,00-0027018,no,NO,FS,17,1,1,1,35,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,,,,,,,,,,,,,,

Travaris Cadet,00-0029205,no,NE,RB,,,,,,1,0,1,0,0,,,,,,,,,,56,57,0,3,0,1,0,0,0,0,0,0,,,,,,1,1,0,1,0,116,44,17,1,0,0,214,11,21,0,0,0,0,28

Andre Caldwell,00-0026237,no,DEN,WR,,,,,,,,,,,,,,,,,,,,88,93,0,7,0,,,,,,,,,,,,,,,,,,56,11,10,2,0,0,72,1,3,0,0,0,0,3

Bryce Callahan,00-0031904,no,CHI,CB,1,0,0,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,34,0,1,0,,,,,,,,,,,,,,

Jordan Cameron,00-0028040,no,MIA,TE,,,,,,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,26,35,3,0,0,386,,,,,,,

Michael Campanaro,00-0031025,no,BAL,WR,,,,,,,,,,,,,,,,,,,,79,79,0,3,0,,,,,,,,,,,,,31,35,0,3,0,28,0,5,0,0,0,35,2,17,9,1,0,0,17

Calais Campbell,00-0026190,no,ARI,DE,15,0,0,5.0,46,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Ibraheim Campbell,00-0032198,no,CLE,SS,1,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Chris Canty,00-0023566,no,BAL,DE,9,0,0,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Tank Carder,00-0029287,no,CLE,ILB,1,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Don Carey,00-0027124,no,DET,SS,2,0,0,0,3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Ka'Deem Carey,00-0031057,no,CHI,RB,,,,,,1,0,1,0,0,,,,,,,,,,38,38,0,2,0,,,,,,,,,,,,,,,,,,12,1,3,1,0,0,19,43,53,5,2,0,0,159

Dan Carpenter,00-0026003,no,BUF,K,,,,,,,,,,,27,23,536,69,40,0,34,6,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Brandon Carr,00-0026280,no,DAL,CB,15,0,0,0,59,0,0,0,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Derek Carr,00-0031280,no,OAK,QB,,,,,,2,2,9,2,-4,,,,,,,,,,,,,,,573,350,13,32,2,1,3987,,,,,,,,,,,,,,,,,,33,97,0,0,0,0,138

Tank Carradine,00-0030457,no,SF,DT,8,1,0,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Ryan Carrethers,00-0030994,no,SD,NT,10,0,0,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

T.J. Carrie,00-0031269,no,OAK,SS,10,1,1,0,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,68,0,19,0,,,,,,,,,,,,,,

Derek Carrier,00-0029119,no,WAS,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,7,17,1,0,0,141,,,,,,,

Alex Carrington,00-0027677,no,BUF,DE,3,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Nolan Carroll,00-0027744,no,PHI,CB,14,0,2,0,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Duron Carter,00-0026515,yes,IND,,,,,,,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Bruce Carter,00-0027978,no,TB,LB,14,0,0,2,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Chris Carter,00-0028100,no,CIN,LB,2,0,0,0,4,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Jurrell Casey,00-0028015,no,TEN,DE,22,0,0,7.0,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Jonathan Casillas,00-0026832,no,NYG,OLB,18,0,1,2,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Matt Cassel,00-0023662,no,DAL,QB,,,,,,0,3,4,3,0,,,,,,,,,,,,,,,205,119,7,5,1,1,1275,,,,,,,,,,,,,,,,,,15,56,0,0,0,0,78

Chandler Catanzaro,00-0030896,no,ARI,K,,,,,,,,,,,31,28,457,84,58,0,53,5,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Mike Catapano,00-0030109,no,NYJ,DE,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Brent Celek,00-0025549,no,PHI,TE,,,,,,0,1,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211,25,27,3,0,0,398,,,,,,,

Garrett Celek,00-0028903,no,SF,TE,,,,,,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,16,19,3,0,0,186,,,,,,,

Kam Chancellor,00-0027733,no,SEA,SS,30,1,2,0,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Scott Chandler,00-0025516,no,NE,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,25,23,4,0,0,259,,,,,,,

Jamaal Charles,00-0026213,no,KC,RB,,,,,,2,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,7,21,1,0,0,177,71,99,43,4,0,0,364

Stefan Charles,00-0030132,no,BUF,DT,4,1,0,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Anthony Chickillo,00-0031956,yes,PIT,DE,,,,,,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Patrick Chung,00-0027010,no,NE,SS,33,1,0,0,49,,,,,,,,,,,,,,,17,17,0,1,0,,,,,,,,,,,,,4,4,0,1,0,,,,,,,,,,,,,,

Barry Church,00-0027416,no,DAL,SS,38,1,0,0,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Morris Claiborne,00-0029676,no,DAL,CB,7,0,0,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Chris Clark,00-0025900,no,HOU,T,,,,,,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Frank Clark,00-0032210,no,SEA,DE,1,1,0,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Will Clarke,00-0031304,no,CIN,DE,1,0,0,0.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Jimmy Clausen,00-0027659,no,CHI,QB,,,,,,0,1,1,1,0,,,,,,,,,,,,,,,125,72,4,2,0,0,739,,,,,,,,,,,,,,,,,,11,17,0,0,0,0,36

Charles Clay,00-0028112,no,BUF,TE,,,,,,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235,74,51,3,0,0,528,,,,,,,

Kaelin Clay,00-0032115,no,BAL,WR,,,,,,,,,,,,,,,,,,,,97,125,0,15,0,,,,,,,,,,,,,68,154,82,23,1,,,,,,,,,,,,,,

Adrian Clayborn,00-0027958,no,ATL,DE,1,0,0,3,14,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Kellen Clemens,00-0024264,no,SD,QB,,,,,,,,,,,,,,,,,,,,,,,,,6,5,0,1,0,0,63,,,,,,,,,,,,,,,,,,1,-1,0,0,0,0,-1

T.J. Clemmings,00-0031572,no,MIN,OT,,,,,,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Chris Clemons,00-0021577,no,JAC,DE,1,1,0,3,13,0,0,0,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Chris Clemons,00-0027115,yes,ARI,DB,1,0,0,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Asante Cleveland,00-0030832,no,NE,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,1,,,,,,,

Jadeveon Clowney,00-0031364,no,HOU,OLB,13,0,0,4.5,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Tyler Clutts,00-0027917,no,DAL,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,1,0,0,0,4,,,,,,,

Sammie Coates,00-0032166,yes,PIT,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,1,0,0,0,11,,,,,,,

Randall Cobb,00-0028002,no,GB,WR,,,,,,0,2,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,11,0,4,0,336,72,79,6,0,0,829,13,37,0,0,0,0,50

David Cobb,00-0032133,no,TEN,RB,,,,,,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,0,1,0,0,0,-2,52,43,1,1,0,0,146

Ross Cockrell,00-0031016,no,PIT,DB,9,1,2,0,33,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Chase Coffman,00-0027069,no,TEN,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,8,8,1,0,0,71,,,,,,,

Colin Cole,00-0021684,yes,CAR,,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Trent Cole,00-0023579,no,IND,OLB,12,2,0,3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Audie Cole,00-0029578,no,MIN,MLB,0,0,0,0,2,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Kurt Coleman,00-0027835,no,CAR,FS,35,0,7,1,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Derrick Coleman,00-0029068,no,SEA,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,8,28,0,0,0,0,32

Brandon Coleman,00-0030801,no,NO,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,36,30,2,0,0,454,,,,,,,

Deandre Coleman,00-0031103,no,MIA,DT,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Justin Coleman,00-0031796,no,NE,CB,4,0,0,0,17,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Tevin Coleman,00-0032058,no,ATL,RB,,,,,,3,1,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0,2,0,0,0,14,87,157,1,1,0,0,392

Jamie Collins,00-0030421,no,NE,OLB,38,5,1,5.5,52,0,0,0,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Jalen Collins,00-0031552,no,ATL,CB,1,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Landon Collins,00-0032262,no,NYG,FS,28,1,1,0,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

