Week,Rushing,Passing,Opp. Rushing,Opp. Passing
1,124,219,76,276
2,119,205,127,234
3,159,212,98,48
4,110,235,53,203
5,200,197,109,310
6,115,219,135,248
7,176,212,61,81
8,113,210,129,91
10,115,228,117,334
11,255,253,59,247
12,100,336,58,480
13,173,260,31,94
14,123,301,28,274
15,182,241,94,136
16,59,253,102,103
17,145,209,27,205
