week	name	cmp	att	yds	td	int
1	A. Rodgers	18	23	189	3	0
2	A. Rodgers	25	33	249	2	0
3	A. Rodgers	24	35	333	5	0
4	A. Rodgers	22	32	224	1	0
5	A. Rodgers	19	30	241	2	2
6	A. Rodgers	16	29	255	2	0
8	A. Rodgers	14	22	77	0	0
9	A. Rodgers	25	48	369	4	1
10	A. Rodgers	35	61	333	2	0
11	A. Rodgers	16	34	212	2	0
12	A. Rodgers	22	43	202	1	1
13	A. Rodgers	24	36	273	2	1
14	A. Rodgers	22	35	218	2	0
15	A. Rodgers	22	39	204	1	1
16	A. Rodgers	15	28	151	1	1
16	S. Tolzien	1	1	4	0	0
17	A. Rodgers	28	44	291	1	1
