Week,Rushing,Passing,Opp. Rushing,Opp. Passing
1,96,169,105,158
2,123,273,42,344
3,57,236,125,346
4,142,289,60,266
5,55,270,183,186
6,83,311,95,287
7,120,175,115,260
9,98,338,29,261
10,90,168,89,308
11,90,218,104,212
12,102,318,79,290
13,81,308,210,257
14,154,226,95,227
15,85,285,83,245
16,65,347,135,402
17,32,183,160,242
