Week,Rushing,Passing,Opp. Rushing,Opp. Passing
1,63,336,105,290
2,7,219,109,250
3,123,108,47,276
4,87,233,127,290
5,186,333,96,292
6,158,270,81,166
7,177,172,204,190
9,172,287,134,277
10,83,353,99,190
11,136,247,283,238
12,68,159,108,322
13,128,120,103,324
14,116,232,152,260
15,74,350,230,263
16,45,353,67,351
17,120,315,208,294
