Week,Rushing,Passing,Opp. Rushing,Opp. Passing
1,76,276,124,219
2,67,146,182,191
3,71,187,62,197
4,164,164,113,334
5,191,143,86,236
7,158,150,82,282
8,197,191,38,151
9,160,160,145,148
10,94,191,153,244
11,82,131,96,292
12,94,251,140,236
13,66,146,175,349
14,203,114,111,220
15,98,221,146,363
16,102,103,59,253
17,133,231,108,350
