Week,Rushing,Passing,Opp. Rushing,Opp. Passing
1,104,217,154,179
2,116,158,166,219
3,39,316,155,314
4,100,332,91,347
5,83,422,181,196
6,109,189,152,290
7,82,282,158,150
8,39,215,119,372
9,69,144,152,219
10,15,327,60,399
12,63,275,104,232
13,68,205,144,233
14,230,251,71,150
15,94,136,182,241
16,232,136,136,122
17,86,177,30,349
