Week,Rushing,Passing,Opp. Rushing,Opp. Passing
1,63,183,127,269
2,97,351,109,384
3,155,314,39,316
4,70,173,98,273
5,65,223,43,254
7,130,282,90,327
8,118,333,74,292
9,139,301,195,402
10,84,287,263,122
11,52,164,109,266
12,84,323,44,205
13,99,262,89,143
14,27,99,34,276
15,120,252,103,190
16,106,175,72,271
17,48,157,189,150
