week	name	cmp	att	yds	td	int
1	M. McGloin	23	31	142	2	1
1	D. Carr	7	12	61	0	0
2	D. Carr	30	46	351	3	1
3	D. Carr	20	32	314	2	0
4	D. Carr	20	33	196	2	1
5	D. Carr	26	39	249	1	1
7	D. Carr	24	31	289	3	0
8	D. Carr	23	36	333	4	0
9	D. Carr	24	44	301	4	1
10	D. Carr	29	43	302	2	2
11	D. Carr	13	25	169	0	0
12	D. Carr	24	37	330	3	0
12	M. McGloin	0	1	0	0	0
13	D. Carr	31	48	283	2	3
14	D. Carr	12	29	135	2	0
15	D. Carr	23	47	276	2	2
16	D. Carr	23	38	204	1	1
17	D. Carr	21	33	194	1	1
