Week,Rushing,Passing,Opp. Rushing,Opp. Passing
1,105,158,96,169
2,172,178,61,239
3,119,312,70,310
4,133,111,141,270
6,135,248,115,219
7,204,190,177,172
8,140,239,136,223
9,130,297,71,331
10,119,184,64,178
11,142,226,14,172
12,129,165,31,179
13,175,322,70,264
14,142,282,54,176
15,171,309,161,245
16,155,113,77,296
17,111,255,77,309
