Week,Rushing,Passing,Opp. Rushing,Opp. Passing
1,80,356,99,186
2,109,250,7,219
3,127,220,158,280
4,115,220,103,335
5,102,163,109,247
7,233,227,132,157
8,129,91,113,210
9,134,277,172,287
10,42,174,84,246
11,166,220,70,140
12,129,165,31,179
13,97,221,73,193
14,171,99,230,205
15,133,176,73,299
16,121,186,236,172
17,100,412,146,249
