Week,Rushing,Passing,Opp. Rushing,Opp. Passing
1,230,165,71,177
2,111,298,84,369
3,103,53,139,307
4,77,119,162,200
5,124,256,84,441
6,65,326,77,343
7,61,81,176,212
8,38,151,197,191
9,133,185,17,285
11,59,247,255,253
12,67,301,70,267
13,121,170,170,194
14,71,150,230,251
15,55,263,68,174
16,121,201,87,284
17,108,350,133,231
