Week,Rushing,Passing,Opp. Rushing,Opp. Passing
1,80,281,134,330
2,56,451,160,189
3,125,346,57,236
5,109,247,102,163
6,116,301,120,289
7,16,337,89,283
8,95,342,15,255
9,161,299,37,213
10,77,329,80,342
11,85,271,94,225
12,39,262,179,254
13,103,324,128,120
14,116,197,87,102
15,93,253,59,223
16,63,221,143,285
17,70,126,96,342
