Week,Rushing,Passing,Opp. Rushing,Opp. Passing
1,69,150,73,100
2,61,238,147,167
3,41,313,28,262
4,144,200,113,212
5,43,254,65,223
6,152,290,109,189
8,160,340,90,50
9,35,274,120,245
10,69,152,106,197
11,170,219,86,261
12,179,254,39,262
13,134,159,93,179
14,34,276,27,99
15,104,281,23,354
16,108,186,113,277
17,210,293,110,207
