Week,Rushing,Passing,Opp. Rushing,Opp. Passing
1,99,186,80,356
2,97,291,56,346
3,84,279,88,305
4,92,211,55,258
5,84,441,124,256
6,81,166,158,270
7,132,157,233,227
8,87,329,103,505
9,114,213,136,247
10,80,342,77,329
12,33,299,105,302
13,74,281,90,373
14,92,337,128,235
15,161,245,171,309
16,91,272,218,150
17,208,294,120,315
