Week,Rushing,Passing,Opp. Rushing,Opp. Passing
1,127,269,63,183
2,175,214,131,223
3,86,372,36,362
4,124,321,113,348
5,109,310,200,197
6,112,243,112,256
8,78,218,116,240
9,152,219,69,144
10,74,182,82,174
11,99,278,82,301
12,140,236,94,251
13,68,205,144,233
14,64,321,84,270
15,68,174,55,263
16,108,186,113,277
17,145,147,59,282
