week	name	t	a	sck	int	ff
11	D. Dennard	2	0	0.0	0	0
11	W. Gilberry	2	0	0.0	0	0
11	A. Hawk	2	0	0.0	0	0
11	D. Kirkpatrick	2	0	0.0	0	0
11	E. Lamur	2	0	0.0	0	1
11	V. Rey	2	0	0.0	0	0
11	C. Dunlap	1	0	0.0	0	0
11	R. Maualuga	1	1	0.0	0	0
11	J. Shaw	1	0	0.0	0	0
12	D. Kirkpatrick	9	1	0.0	0	0
12	V. Burfict	6	1	0.0	0	0
12	L. Hall	4	2	0.0	1	0
12	A. Jones	4	0	0.0	0	0
12	G. Atkins	3	0	1.0	0	0
12	G. Iloka	3	1	0.0	1	0
12	V. Rey	3	3	0.0	0	0
12	E. Lamur	2	0	0.0	0	0
12	R. Nelson	2	0	0.0	1	0
12	D. Peko	2	1	0.0	0	0
12	J. Shaw	2	0	0.0	0	0
12	C. Dunlap	1	3	0.0	0	0
12	R. Maualuga	1	1	0.0	0	0
12	S. Williams	1	0	0.0	0	0
12	W. Gilberry	0	3	0.0	0	0
12	A. Hawk	0	1	0.0	0	0
12	B. Thompson	0	1	0.0	0	0
13	V. Burfict	6	2	0.0	0	0
13	R. Nelson	5	0	0.0	1	0
13	V. Rey	4	0	0.0	0	0
13	J. Shaw	4	0	0.0	0	0
13	C. Dunlap	3	0	1.0	0	1
13	A. Jones	3	0	0.0	0	0
13	D. Kirkpatrick	3	0	0.0	0	0
13	R. Maualuga	3	0	0.0	0	0
13	A. Hawk	2	0	0.0	0	0
13	T. Hill	2	1	0.0	0	0
13	M. Johnson	2	0	1.0	0	0
13	D. Peko	2	0	1.0	0	0
13	C. Carter	1	0	0.0	0	0
13	P. Dawson	1	1	0.0	0	0
13	W. Gilberry	1	0	0.0	0	0
13	M. Hunt	1	0	0.0	0	0
13	E. Lamur	1	0	0.0	0	0
13	P. Sims	0	1	0.0	0	0
13	S. Williams	0	1	0.0	0	0
14	V. Burfict	11	0	0.0	0	0
14	D. Kirkpatrick	6	1	0.0	0	0
14	L. Hall	5	2	0.0	0	0
14	R. Maualuga	5	2	0.0	0	0
14	J. Shaw	5	2	0.0	0	0
14	V. Rey	3	2	0.0	0	0
14	C. Dunlap	2	2	1.0	0	0
14	M. Johnson	2	1	1.0	0	0
14	E. Lamur	2	0	0.0	0	0
14	R. Nelson	2	1	0.0	1	0
14	G. Atkins	1	0	0.0	0	0
14	W. Gilberry	1	0	0.0	0	0
14	G. Iloka	1	0	0.0	0	0
14	D. Peko	1	1	0.0	0	0
14	S. Williams	1	0	0.0	0	0
14	M. Hunt	0	1	0.0	0	0
15	R. Maualuga	7	3	0.0	0	0
15	V. Burfict	5	2	1.0	1	0
15	L. Hall	5	0	0.0	0	0
15	D. Kirkpatrick	5	0	0.0	0	0
15	G. Atkins	4	0	2.0	0	0
15	C. Dunlap	3	0	0.0	0	1
15	R. Nelson	3	1	0.0	0	0
15	S. Williams	3	1	0.0	1	0
15	P. Dawson	2	0	0.0	0	0
15	W. Gilberry	2	0	0.0	0	0
15	A. Hawk	2	0	0.0	0	0
15	A. Jones	2	1	0.0	1	0
15	M. Johnson	1	1	0.0	0	0
15	D. Peko	1	2	1.0	0	0
16	D. Kirkpatrick	7	0	0.0	0	0
16	V. Burfict	5	1	0.0	0	0
16	C. Dunlap	5	1	3.0	0	0
16	M. Johnson	5	1	0.0	0	1
16	A. Jones	5	0	0.0	0	0
16	L. Hall	4	1	0.0	0	0
16	S. Williams	4	0	0.0	0	0
16	R. Maualuga	3	1	0.0	0	0
16	D. Peko	2	0	0.0	0	0
16	W. Gilberry	1	0	0.0	0	0
16	V. Rey	1	0	0.0	0	0
16	J. Shaw	1	0	0.0	0	0
16	P. Sims	1	2	0.0	0	0
16	R. Nelson	0	1	0.0	0	0
17	V. Burfict	8	4	0.0	1	0
17	R. Nelson	6	4	0.0	0	0
17	S. Williams	4	1	0.0	0	0
17	G. Atkins	3	0	1.0	0	0
17	C. Dunlap	3	1	0.0	0	0
17	L. Hall	3	1	0.0	0	0
17	C. Lewis-Harris	3	0	0.0	0	0
17	R. Maualuga	3	3	0.0	1	0
17	G. Iloka	2	1	0.0	0	0
17	D. Kirkpatrick	2	0	0.0	0	0
17	V. Rey	2	1	0.0	0	0
17	B. Thompson	1	0	0.0	0	0
17	W. Gilberry	0	1	0.0	0	0
17	A. Hawk	0	1	0.0	0	0
17	M. Johnson	0	2	0.0	0	0
17	D. Peko	0	2	0.0	0	0
