Week,Rushing,Passing,Opp. Rushing,Opp. Passing
1,97,233,98,298
2,147,167,61,238
3,75,251,123,325
4,113,348,124,321
5,117,170,87,241
6,57,271,84,237
7,138,239,147,192
8,206,134,81,195
10,106,197,69,152
11,153,232,52,149
12,158,255,129,286
13,89,143,99,262
14,150,179,44,236
15,113,164,93,273
16,136,122,232,136
17,189,150,48,157
