Week,Rushing,Passing,Opp. Rushing,Opp. Passing
1,96,387,69,233
2,131,223,175,214
3,90,279,163,121
4,91,347,100,332
5,52,354,155,194
6,60,488,133,237
7,90,327,130,282
8,81,290,72,293
9,77,262,109,337
11,52,149,153,232
12,79,290,102,318
13,93,179,134,159
14,44,236,150,179
15,140,302,44,187
16,72,271,106,175
17,110,207,210,293
