Week,Rushing,Passing,Opp. Rushing,Opp. Passing
1,92,181,124,185
2,139,194,104,219
3,57,261,186,227
4,141,270,133,111
5,183,186,55,270
7,190,289,50,305
8,117,173,101,395
9,136,247,114,213
10,84,246,42,174
11,283,238,136,247
12,132,212,27,309
13,166,222,64,255
14,115,176,87,301
15,146,363,98,221
16,104,285,174,153
17,77,309,111,255
