Week,Rushing,Passing,Opp. Rushing,Opp. Passing
1,105,290,63,336
2,56,346,97,291
3,158,280,127,220
4,135,243,54,374
5,176,242,51,219
6,150,263,81,304
7,127,251,77,179
8,101,395,117,173
9,17,285,133,185
11,100,275,74,202
12,116,210,191,174
13,64,255,166,222
14,54,176,142,282
15,83,245,85,285
16,77,296,155,113
17,87,327,67,323
