Week,Rushing,Passing,Opp. Rushing,Opp. Passing
1,134,330,80,281
2,84,369,111,298
3,62,197,71,187
4,167,96,191,165
5,155,194,52,354
6,141,169,55,414
7,147,192,138,239
8,116,240,78,218
9,195,402,139,301
10,60,399,15,327
12,58,480,100,336
13,158,364,54,186
14,84,270,64,321
15,23,354,104,281
16,110,198,121,265
17,30,349,86,177
