week	name	cmp	att	yds	td	int
1	M. Stafford	19	30	246	2	2
2	M. Stafford	32	53	286	2	1
3	M. Stafford	31	45	282	1	2
4	M. Stafford	24	35	203	0	0
5	D. Orlovsky	21	38	191	1	1
6	M. Stafford	27	42	405	4	1
7	M. Stafford	18	26	256	2	0
8	M. Stafford	22	36	217	1	2
10	M. Stafford	24	38	242	2	1
11	M. Stafford	22	35	282	0	0
12	M. Stafford	27	38	337	5	0
13	M. Stafford	23	35	220	2	0
14	M. Stafford	30	46	245	2	1
15	M. Stafford	22	25	254	3	0
16	M. Stafford	29	37	301	2	0
17	M. Stafford	28	39	298	3	0
