Week,Rushing,Passing,Opp. Rushing,Opp. Passing
1,147,195,64,240
2,160,189,56,451
3,151,277,102,289
4,55,258,92,211
5,127,82,97,179
6,112,256,112,243
7,115,260,120,175
9,266,154,108,289
10,148,132,128,190
11,94,225,85,271
12,129,286,158,255
13,187,203,126,275
14,152,260,116,232
15,240,212,123,308
16,236,172,121,186
17,113,182,122,178
